"presName","inicio","cargo"
"http://dbpedia.org/resource/Itamar_Franco",1992-12-29,"President of Brazil"
"http://dbpedia.org/resource/Itamar_Franco",1990-03-15,"Vice President of Brazil"
"http://dbpedia.org/resource/José_Sarney",1985-03-15,"President of Brazil"
"http://dbpedia.org/resource/Dilma_Rousseff",2011-01-01,"36thPresident of Brazil"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1995-01-01,"President of Brazil"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",2003-01-01,"35thPresident of Brazil"
"http://dbpedia.org/resource/Hermes_da_Fonseca",1910-11-15,"President of Brazil"
"http://dbpedia.org/resource/Júlio_Prestes",1927-07-14,"President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2016-08-31,"President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2011-01-01,"24thVice President of Brazil"
