"presName","fim","cargo"
"http://dbpedia.org/resource/Itamar_Franco",1995-01-01,"President of Brazil"
"http://dbpedia.org/resource/Itamar_Franco",1992-12-29,"Vice President of Brazil"
"http://dbpedia.org/resource/Itamar_Franco",2011-07-02,"Federal SenatorforMinas Gerais"
"http://dbpedia.org/resource/Itamar_Franco",2002-12-31,"36thGovernor of Minas Gerais"
"http://dbpedia.org/resource/José_Sarney",1990-03-15,"President of Brazil"
"http://dbpedia.org/resource/Dilma_Rousseff",2016-08-31,"36thPresident of Brazil"
"http://dbpedia.org/resource/Dilma_Rousseff",2010-03-31,"Chief of Staff of the Presidency"
"http://dbpedia.org/resource/Dilma_Rousseff",2005-06-21,"Minister of Mines and Energy"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",2003-01-01,"President of Brazil"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1994-03-30,"Minister of Finance"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1993-05-20,"Minister of External Relations"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",2011-01-01,"35thPresident of Brazil"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",2016-03-18,"Chief of Staff of the Presidency"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",1994-01-24,"President of the Workers' Party"
"http://dbpedia.org/resource/Hermes_da_Fonseca",1914-11-15,"President of Brazil"
"http://dbpedia.org/resource/Júlio_Prestes",1930-05-21,"President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2016-08-31,"24thVice President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2010-12-17,"President of the Chamber of Deputies"
"http://dbpedia.org/resource/Michel_Temer",2016-04-05,"President of theBrazilian Democratic Movement Party"
