"presName","inicio","cargo"
"http://dbpedia.org/resource/Itamar_Franco",1992-12-29,"President of Brazil"
"http://dbpedia.org/resource/Itamar_Franco",1990-03-15,"Vice President of Brazil"
"http://dbpedia.org/resource/Itamar_Franco",2011-02-01,"Federal SenatorforMinas Gerais"
"http://dbpedia.org/resource/Itamar_Franco",1999-01-01,"36thGovernor of Minas Gerais"
"http://dbpedia.org/resource/José_Sarney",1985-03-15,"President of Brazil"
"http://dbpedia.org/resource/Dilma_Rousseff",2011-01-01,"36thPresident of Brazil"
"http://dbpedia.org/resource/Dilma_Rousseff",2005-06-21,"Chief of Staff of the Presidency"
"http://dbpedia.org/resource/Dilma_Rousseff",2003-01-01,"Minister of Mines and Energy"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1995-01-01,"President of Brazil"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1993-05-19,"Minister of Finance"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1992-10-05,"Minister of External Relations"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",1988-06-25,"Joint President of theBrazilian Social Democracy Party"
"http://dbpedia.org/resource/Fernando_Henrique_Cardoso",2013-09-10,"6th Academic of the 36th chair of the Brazilian Academy of Letters"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",2003-01-01,"35thPresident of Brazil"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",2016-03-17,"Chief of Staff of the Presidency"
"http://dbpedia.org/resource/Luiz_Inácio_Lula_da_Silva",1980-02-10,"President of the Workers' Party"
"http://dbpedia.org/resource/Hermes_da_Fonseca",1910-11-15,"President of Brazil"
"http://dbpedia.org/resource/Júlio_Prestes",1927-07-14,"President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2016-08-31,"President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2011-01-01,"24thVice President of Brazil"
"http://dbpedia.org/resource/Michel_Temer",2009-02-02,"President of the Chamber of Deputies"
"http://dbpedia.org/resource/Michel_Temer",2001-09-09,"President of theBrazilian Democratic Movement Party"
